#transitid, bp samples (60), rp samples (60)
 36586 36826 36694 37041 37556 37728 37917 38002 38039 38020 38132 38200
 38243 38289 38178 38131 37910 37811 37584 37380 37127 36739 36302 35875
 35363 34852 34153 33350 32414 31508 30623 29744 28981 28296 27716 27352
 27117 26985 26911 26852 26838 26817 26788 26775 26780 26764 26760 26760]
167612385328820640,[18239 18265 18286 18291 18330 18359 18403 18464 18562 18680 18771 18894
 19035 19528 20685 24127 34672 44423 47332 48117 48405 48220 48122 47780
 47002 45668 44445 44357 43497 42395 40821 38507 37824 36312 33574 31707
 28794 25978 23792 22193 21148 20509 20212 20021 19823 19581 19380 19335
 19091 18863 18612 18403 18278 18233 18190 18145 18139 18117 18121 18111],[26821 26826 26848 26872 26879 26925 26977 27083 27151 27191 27424 27959
 28938 31373 35152 36759 36996 36747 37455 37822 37984 38221 38215 38272
 38328 38365 38350 38328 38483 38327 38319 38073 37882 37663 37431 37228
 36827 36283 35858 35422 34858 34064 33210 32273 31349 30384 29589 28795
 28167 27615 27285 27095 26996 26930 26880 26839 26809 26792 26774 26765]
144137385311769729,[18030 18015 18046 18078 18138 18156 18202 18263 18323 18430 18569 18761
 19095 19724 21730 30376 41128 43975 44392 44602 44338 43924 43603 42925
 42514 41638 40325 40671 40412 39371 38684 37178 35300 35083 33961 31599
 30358 28293 25911 23914 22275 21211 20451 19993 19821 19732 19623 19352
 19104 19099 18972 18818 18551 18330 18120 18014 17974 17957 17955 17944],[28680 28705 28714 28718 28751 28775 28821 28872 28935 29023 29190 29517
 30143 31246 33248 35756 37224 37795 37860 38091 38579 38725 38927 39061
 38984 39075 39179 39138 39241 39195 39182 39261 39019 38943 38756 38629
 38482 38177 37986 37546 37095 36758 36381 35902 35402 34724 33998 33325
 32595 31801 31167 30513 29944 29505 29172 28980 28843 28771 28742 72808]
154742903709299963,[18273 18302 18318 18349 18374 18447 18478 18594 18699 18814 18927 19234
 20030 23111 34338 44824 47554 47940 48039 47945 47383 46920 46435 45379
 43947 44252 43360 42499 40762 38529 37686 36511 33757 32234 29388 26529
 24142 22499 21211 20561 20195 19994 19814 19564 19382 19343 19163 18938
